job_id,posting_date,title,position_type,position_level,yoe,location,number_of_applicants,company_name,company_industry,company_size
6295,2018-11-27,Data Engineer,Full-time,Mid-Senior level,4,"Campbell, CA",14.0,Saama,Information Technology & Services,"1,001-5,000"
6302,2018-11-28,Data Engineer,Contract,Mid-Senior level,5,"Irving, TX",,Toptal,Internet,"1,001-5,000"
6306,2018-11-28,Data Engineer,Full-time,Entry level,0,United States,3.0,Dice,Internet,"1,001-5,000"
6315,2018-11-29,Data Engineer,Full-time,Mid-Senior level,4,"Costa Mesa, CA",,Experian,Information Services,"10,001+"
6316,2018-11-29,Data Scientist,Full-time,Mid-Senior level,5,United States,15.0,ENGINE Media Exchange (EMX),Marketing & Advertising,51-200
6319,2018-11-29,Data Scientist,Full-time,Entry level,2,United States,51.0,Komodo Health,Computer Software,201-500
6320,2018-11-29,Data Scientist,Contract,Mid-Senior level,6,"Houston, TX",7.0,Toptal,Internet,"1,001-5,000"
6321,2018-11-29,Data Engineer,Contract,Mid-Senior level,9,"Plano, TX",,Toptal,Internet,"1,001-5,000"
6323,2018-11-30,Data Analyst,Full-time,Mid-Senior level,5,"North Carolina, United States",20.0,Kraken Digital Asset Exchange,Financial Services,"1,001-5,000"
6324,2018-11-30,Data Engineer,Full-time,Mid-Senior level,6,"Houston, TX",2.0,Publicis Sapient,Information Technology & Services,"10,001+"
6330,2018-11-30,Data Engineer,Full-time,Mid-Senior level,6,United States,3.0,Humana,"Health, Wellness & Fitness","10,001+"
6331,2018-11-30,Data Scientist,Full-time,Entry level,2,United States,174.0,Rhino,Real Estate,201-500
6336,2018-11-30,Data Scientist,Full-time,Mid-Senior level,5,"Charlotte, NC",2.0,Jobot,Staffing & Recruiting,201-500
6337,2018-12-01,Data Engineer,Full-time,Associate,3,"San Francisco, CA",26.0,Signify Technology,Staffing & Recruiting,11-50
6344,2018-12-01,Data Scientist,Contract,Mid-Senior level,10,"Newport News, VA",,Toptal,Internet,"1,001-5,000"
6350,2018-12-01,Data Engineer,Full-time,Associate,5,"Pittsburgh, PA",12.0,Niche,Internet,51-200
6353,2018-12-02,Data Engineer,Full-time,Entry level,0,"Seattle, WA",,CrowdStrike,Computer & Network Security,"1,001-5,000"
6354,2018-12-02,Data Engineer,Full-time,Associate,4,"Hartford, CT",1.0,The Hartford,Financial Services,"10,001+"
6355,2018-12-02,Data Architect,Full-time,Mid-Senior level,9,"Memphis, TN",3.0,Perficient,Information Technology & Services,"1,001-5,000"
6357,2018-12-02,Data Scientist,Full-time,Entry level,2,"New York, United States",27.0,Covera Health,Hospital & Health Care,51-200
6359,2018-12-02,Data Analyst,Full-time,Mid-Senior level,7,United States,60.0,Apex Systems,Information Technology & Services,"1,001-5,000"
6360,2018-12-02,Data Engineer,Full-time,Associate,3,United States,13.0,Quantiphi,Information Technology & Services,"1,001-5,000"
6361,2018-12-02,Data Scientist,Full-time,Director,12,United States,14.0,Brightside,Financial Services,51-200
6362,2018-12-02,Data Engineer,Full-time,Associate,2,"Portland, OR",,HashiCorp,Computer Software,"1,001-5,000"
6371,2018-12-03,Data Scientist,Full-time,Associate,5,"San Diego, CA",,TechStyleOS,Apparel & Fashion,"1,001-5,000"
6379,2018-12-04,Data Engineer,Full-time,Entry level,1,"Los Angeles, CA",2.0,The Fountain Group,Staffing & Recruiting,"501-1,000"
6383,2018-12-04,Data Scientist,Contract,Mid-Senior level,3,"Chula Vista, CA",,Toptal,Internet,"1,001-5,000"
6384,2018-12-04,Data Scientist,Full-time,Mid-Senior level,3,San Francisco Bay Area,3.0,Descript,Media Production,11-50
6385,2018-12-04,Data Architect,Full-time,Mid-Senior level,4,"New Jersey, United States",4.0,Adobe,Computer Software,"10,001+"
6386,2018-12-04,Data Engineer,Full-time,Mid-Senior level,6,"Atlanta, GA",19.0,Virtusa,Information Technology & Services,"10,001+"
6389,2018-12-04,Data Engineer,Contract,Mid-Senior level,7,"Baltimore, MD",1.0,Toptal,Internet,"1,001-5,000"
6390,2018-12-04,Data Architect,Full-time,Associate,3,"Tallahassee, FL",,Dice,Internet,"1,001-5,000"
6391,2018-12-04,Data Engineer,Full-time,Entry level,1,"Columbia County, GA",,Blackbaud,Computer Software,"1,001-5,000"
6394,2018-12-05,Data Architect,Full-time,Associate,4,United States,3.0,Innovaccer,Information Technology & Services,"501-1,000"
6395,2018-12-05,Data Engineer,Full-time,Associate,4,United States,4.0,"Envestnet, Inc",Financial Services,"1,001-5,000"
6399,2018-12-05,Data Engineer,Contract,Mid-Senior level,5,"Pearland, TX",,Toptal,Internet,"1,001-5,000"
6400,2018-12-05,Data Scientist,Full-time,Associate,4,"Long Beach, CA",,Jobot,Staffing & Recruiting,201-500
6407,2018-12-06,Data Scientist,Contract,Mid-Senior level,10,"Ann Arbor, MI",2.0,Toptal,Internet,"1,001-5,000"
6409,2018-12-06,Data Scientist,Full-time,Associate,3,"Irvine, CA",,TechStyleOS,Apparel & Fashion,"1,001-5,000"
6411,2018-12-06,Data Engineer,Contract,Entry level,2,"Seattle, WA",,Dice,Internet,"1,001-5,000"
6415,2018-12-06,Data Analyst,Contract,Entry level,3,"Miami, FL",5.0,Dice,Internet,"1,001-5,000"
6416,2018-12-06,Data Engineer,Full-time,Mid-Senior level,3,"Las Vegas, NV",15.0,"Taurean Consulting Group, Inc",Staffing & Recruiting,1-10
6417,2018-12-06,Data Engineer,Contract,Mid-Senior level,6,"McAllen, TX",,Toptal,Internet,"1,001-5,000"
6424,2018-12-07,Data Engineer,Full-time,Entry level,4,"Virginia, United States",2.0,Blackbaud,Computer Software,"1,001-5,000"
6425,2018-12-07,Data Analyst,Full-time,Entry level,2,"Bentonville, AR",15.0,Dice,Internet,"1,001-5,000"
6430,2018-12-08,Data Scientist,Full-time,Associate,3,"Dallas, TX",2.0,Tiger Analytics,Management Consulting,"1,001-5,000"
6432,2018-12-08,Data Scientist,Contract,Mid-Senior level,2,"Sterling Heights, MI",3.0,Toptal,Internet,"1,001-5,000"
6439,2018-12-08,Data Analyst,Full-time,Entry level,2,"New York, NY",6.0,Cityblock Health,Hospital & Health Care,201-500
6446,2018-12-09,Data Scientist,Full-time,Mid-Senior level,1,"Houston, TX",1.0,Onit,Computer Software,201-500
6470,2018-12-10,Data Engineer,Contract,Mid-Senior level,4,"Elk Grove, CA",,Toptal,Internet,"1,001-5,000"
6471,2018-12-10,Data Engineer,Full-time,Mid-Senior level,4,"Mississippi, United States",,WP Engine,Information Technology & Services,"501-1,000"
6473,2018-12-10,Data Engineer,Full-time,Mid-Senior level,3,"New York County, NY",,Recruiting from Scratch,Staffing & Recruiting,1-10
6478,2018-12-11,Data Analyst,Full-time,Mid-Senior level,5,"Maryland, United States",45.0,Mozilla,Computer Software,"501-1,000"
6480,2018-12-11,Data Engineer,Full-time,Associate,3,"Seattle, WA",1.0,Rooster Park,Computer Software,51-200
6482,2018-12-11,Data Engineer,Full-time,Mid-Senior level,6,"Fort Lauderdale, FL",16.0,ActOne Group,Information Services,"1,001-5,000"
6491,2018-12-12,Data Engineer,Contract,Entry level,1,"Baltimore, MD",7.0,"StarsHR, Inc.",Staffing & Recruiting,11-50
6494,2018-12-12,Data Engineer,Full-time,Mid-Senior level,7,"Columbus, OH",4.0,ettain group,Staffing & Recruiting,201-500
6499,2018-12-12,Data Analyst,Full-time,Entry level,2,United States,3.0,"Ontrak, Inc",Mental Health Care,"501-1,000"
6500,2018-12-12,Data Engineer,Full-time,Mid-Senior level,4,"Arizona, United States",,WP Engine,Information Technology & Services,"501-1,000"
6501,2018-12-12,Data Engineer,Full-time,Executive,10,United States,2.0,"Oncology Analytics, Inc.",Hospital & Health Care,51-200
6504,2018-12-13,Data Scientist,Full-time,Associate,4,"Los Angeles, CA",6.0,Cart.com,Internet,201-500
6516,2018-12-13,Data Analyst,Full-time,Mid-Senior level,7,"Nashville, TN",68.0,LTK (formerly rewardStyle & LIKEtoKNOW.it),Internet,201-500
6517,2018-12-14,Data Analyst,Full-time,Associate,5,Greater Boston,91.0,Purple Carrot,Food & Beverages,51-200
6519,2018-12-14,Data Analyst,Full-time,Associate,4,"New York, United States",166.0,Majhi Group,Management Consulting,1-10
6528,2018-12-14,Data Engineer,Full-time,Entry level,2,"Hillsboro, OR",,The Mom Project,Internet,51-200
6529,2018-12-14,Data Analyst,Full-time,Associate,2,"Chicago, IL",108.0,Fetch Rewards,Computer Software,201-500
6540,2018-12-15,Data Engineer,Full-time,Mid-Senior level,3,United States,5.0,Puppet,Information Technology & Services,"501-1,000"
6543,2018-12-15,Data Engineer,Full-time,Mid-Senior level,5,"Miami, FL",4.0,Jobot,Staffing & Recruiting,201-500
6551,2018-12-16,Data Engineer,Contract,Mid-Senior level,6,"Morgantown, KY",,Toptal,Internet,"1,001-5,000"
6557,2018-12-17,Data Engineer,Full-time,Associate,5,"Boston, MA",3.0,Mozilla,Computer Software,"501-1,000"
6558,2018-12-17,Data Analyst,Contract,Mid-Senior level,4,"Boston, MA",181.0,StevenDouglas,Staffing & Recruiting,51-200
6560,2018-12-17,Data Architect,Full-time,Mid-Senior level,3,"Allentown, PA",3.0,Perficient,Information Technology & Services,"1,001-5,000"
6561,2018-12-17,Data Engineer,Full-time,Mid-Senior level,6,"Texas, United States",11.0,Insight Global,Staffing & Recruiting,"1,001-5,000"
6563,2018-12-17,Data Engineer,Full-time,Mid-Senior level,9,"Arlington, VA",,Aha!,Computer Software,51-200
6567,2018-12-17,Data Scientist,Full-time,Mid-Senior level,7,"San Francisco, CA",39.0,Wish,Computer Software,"1,001-5,000"
6570,2018-12-18,Data Engineer,Contract,Mid-Senior level,5,"Houston, TX",,Toptal,Internet,"1,001-5,000"
6572,2018-12-18,Data Scientist,Full-time,Mid-Senior level,3,Charlotte Metro,14.0,HuntSource,Information Technology & Services,11-50
6573,2018-12-18,Data Scientist,Contract,Mid-Senior level,4,"Huntsville, AL",,Toptal,Internet,"1,001-5,000"
6574,2018-12-18,Data Scientist,Full-time,Entry level,1,United States,,Kite Pharma,Biotechnology,"1,001-5,000"
6575,2018-12-18,Data Engineer,Contract,Mid-Senior level,6,"Frisco, TX",1.0,Toptal,Internet,"1,001-5,000"
6577,2018-12-18,Data Engineer,Full-time,Mid-Senior level,4,"Houston, TX",9.0,Sword Venture,Oil & Energy,51-200
6578,2018-12-18,Data Analyst,Full-time,Associate,3,"Dallas, TX",5.0,Optum,Hospital & Health Care,"10,001+"
6581,2018-12-18,Data Scientist,Contract,Mid-Senior level,2,"Round Rock, TX",2.0,Toptal,Internet,"1,001-5,000"
6585,2018-12-18,Data Scientist,Full-time,Mid-Senior level,6,United States,14.0,Neuro-ID,Computer Software,11-50
6586,2018-12-19,Data Analyst,Full-time,Entry level,1,"Minnetonka, MN",2.0,UnitedHealthcare,Hospital & Health Care,"10,001+"
6597,2018-12-19,Data Engineer,Full-time,Mid-Senior level,5,Greater Boston,13.0,Sud Recruiting,Staffing & Recruiting,1-10
6598,2018-12-19,Data Analyst,Full-time,Associate,3,"New York, NY",65.0,Square,Internet,"1,001-5,000"
6599,2018-12-19,Data Analyst,Contract,Mid-Senior level,10,"Bellevue, WA",11.0,Avacend Inc,Information Technology & Services,51-200
6600,2018-12-19,Data Engineer,Contract,Mid-Senior level,6,"Hialeah, FL",,Toptal,Internet,"1,001-5,000"
6611,2018-12-20,Data Engineer,Contract,Associate,6,United States,9.0,Apex Systems,Information Technology & Services,"1,001-5,000"
6613,2018-12-20,Data Analyst,Full-time,Associate,6,"Chicago, IL",8.0,DocuSign,Computer Software,"5,001-10,000"
6619,2018-12-21,Data Engineer,Contract,Mid-Senior level,5,"Pembroke Pines, FL",,Toptal,Internet,"1,001-5,000"
6624,2018-12-21,Data Scientist,Contract,Mid-Senior level,5,"Palm Bay, FL",2.0,Toptal,Internet,"1,001-5,000"
6626,2018-12-21,Data Scientist,Contract,Mid-Senior level,5,"Richmond, CA",9.0,Toptal,Internet,"1,001-5,000"
6635,2018-12-22,Data Scientist,Full-time,Mid-Senior level,11,United States,9.0,Mission Essential,Defense & Space,"5,001-10,000"
6637,2018-12-22,Data Engineer,Full-time,Mid-Senior level,3,"New York, United States",20.0,Storm3,Staffing & Recruiting,11-50
6644,2018-12-23,Data Scientist,Full-time,Mid-Senior level,3,New York City Metropolitan Area,24.0,Zip Co,Financial Services,"501-1,000"
6647,2018-12-23,Data Engineer,Full-time,Mid-Senior level,6,United States,9.0,American Specialty Health,"Health, Wellness & Fitness","1,001-5,000"
6651,2018-12-23,Data Engineer,Full-time,Mid-Senior level,4,"Chicago, IL",12.0,Match,Internet,"1,001-5,000"
6655,2018-12-23,Data Scientist,Full-time,Associate,1,"Austin, TX",48.0,Signifyd,Internet,201-500
6656,2018-12-23,Data Analyst,Contract,Mid-Senior level,6,"Menlo Park, CA",98.0,Clinovo,Pharmaceuticals,51-200
6658,2018-12-24,Data Engineer,Contract,Mid-Senior level,1,"Sandy Springs, GA",,Toptal,Internet,"1,001-5,000"
6662,2018-12-24,Data Engineer,Full-time,Associate,5,"York, NY",3.0,Codecademy,E-learning,51-200
6665,2018-12-24,Data Scientist,Contract,Mid-Senior level,7,"Topeka, KS",,Toptal,Internet,"1,001-5,000"
6667,2018-12-24,Data Engineer,Contract,Mid-Senior level,4,"Oklahoma City, OK",,Toptal,Internet,"1,001-5,000"
6669,2018-12-24,Data Engineer,Full-time,Associate,4,"Louisiana, United States",,Ankura,Management Consulting,"1,001-5,000"
6670,2018-12-24,Data Analyst,Full-time,Associate,3,United States,3.0,VetJobs,Military,51-200
6671,2018-12-25,Data Analyst,Full-time,Mid-Senior level,8,"Baltimore, MD",5.0,NerdWallet,Consumer Services,201-500
6672,2018-12-25,Data Engineer,Full-time,Associate,3,United States,1.0,Virgin Pulse,Computer Software,"1,001-5,000"
6681,2018-12-25,Data Scientist,Contract,Mid-Senior level,3,"Tucson, AZ",,Toptal,Internet,"1,001-5,000"
6682,2018-12-26,Data Engineer,Contract,Associate,2,"New York, NY",14.0,The Execu|Search Group,Staffing & Recruiting,201-500
6684,2018-12-26,Data Scientist,Contract,Mid-Senior level,3,"Fort Collins, CO",,Toptal,Internet,"1,001-5,000"
6685,2018-12-26,Data Engineer,Full-time,Entry level,2,"Houston, TX",2.0,UnitedHealthcare,Hospital & Health Care,"10,001+"
6697,2018-12-27,Data Engineer,Full-time,Mid-Senior level,6,United States,,Sud Recruiting,Staffing & Recruiting,1-10
6706,2018-12-27,Data Engineer,Full-time,Entry level,2,"Portland, OR",2.0,84.51˚,Management Consulting,"1,001-5,000"
6713,2018-12-28,Data Architect,Full-time,Mid-Senior level,5,"Cleveland, OH",,Perficient,Information Technology & Services,"1,001-5,000"
6717,2018-12-28,Data Architect,Full-time,Mid-Senior level,8,"New York, United States",7.0,Pactera EDGE,Information Technology & Services,"1,001-5,000"
6723,2018-12-29,Data Engineer,Full-time,Mid-Senior level,5,Dallas-Fort Worth Metroplex,8.0,Modis,Information Technology & Services,"10,001+"
6725,2018-12-29,Data Engineer,Full-time,Entry level,3,"Michigan, United States",3.0,Blackbaud,Computer Software,"1,001-5,000"
6733,2018-12-29,Data Scientist,Contract,Mid-Senior level,6,"Aurora, IL",1.0,Toptal,Internet,"1,001-5,000"
6734,2018-12-30,Data Engineer,Full-time,Director,12,United States,9.0,Credit Sesame,Financial Services,51-200
6735,2018-12-30,Data Engineer,Full-time,Mid-Senior level,7,San Diego Metropolitan Area,1.0,85SIXTY,Marketing & Advertising,51-200
6737,2018-12-30,Data Scientist,Full-time,Entry level,1,"Austin, TX",14.0,Everly Health,"Health, Wellness & Fitness","501-1,000"
6738,2018-12-30,Data Engineer,Full-time,Associate,4,"Fort Worth, TX",,Kforce Inc,Information Technology & Services,"1,001-5,000"
6740,2018-12-30,Data Analyst,Full-time,Associate,4,United States,59.0,Webflow,Computer Software,51-200
6741,2018-12-30,Data Engineer,Contract,Mid-Senior level,6,"Bridgeport, CT",,Toptal,Internet,"1,001-5,000"
6742,2018-12-30,Data Scientist,Contract,Mid-Senior level,2,"Glendale, CA",3.0,Toptal,Internet,"1,001-5,000"
6744,2018-12-30,Data Scientist,Full-time,Entry level,3,"California, United States",5.0,NextRoll,Marketing & Advertising,"501-1,000"
6746,2018-12-31,Data Analyst,Full-time,Entry level,1,"Philadelphia, PA",99.0,CCS Global Tech,Information Technology & Services,"501-1,000"
6750,2018-12-31,Data Engineer,Full-time,Mid-Senior level,1,"Atlanta, GA",6.0,Teladoc Health,Hospital & Health Care,"1,001-5,000"
6752,2018-12-31,Data Engineer,Contract,Mid-Senior level,7,"Oakville, CA",,Toptal,Internet,"1,001-5,000"
6762,2019-01-01,Data Scientist,Full-time,Entry level,2,"Hartford, CT",17.0,Landmark Health,Medical Practice,"1,001-5,000"
6763,2019-01-01,Data Engineer,Full-time,Entry level,1,"Newport News, VA",3.0,Ferguson Enterprises,Wholesale,"10,001+"
6765,2019-01-01,Data Engineer,Full-time,Mid-Senior level,6,United States,3.0,SemanticBits,Computer Software,201-500
6766,2019-01-01,Data Scientist,Contract,Mid-Senior level,4,"Piscataway, NJ",,Toptal,Internet,"1,001-5,000"
6767,2019-01-01,Data Scientist,Full-time,Mid-Senior level,5,San Francisco Bay Area,2.0,Egnyte,Computer Software,"501-1,000"
6769,2019-01-01,Data Scientist,Contract,Mid-Senior level,6,"Rochester, NY",,Toptal,Internet,"1,001-5,000"
6771,2019-01-01,Data Engineer,Contract,Mid-Senior level,3,"Everett, WA",,Toptal,Internet,"1,001-5,000"
6776,2019-01-02,Data Engineer,Full-time,Associate,5,"Washington, DC",,HashiCorp,Computer Software,"1,001-5,000"
6782,2019-01-02,Data Engineer,Full-time,Associate,3,"Austin, TX",,Dice,Internet,"1,001-5,000"
6783,2019-01-02,Data Engineer,Full-time,Associate,4,United States,3.0,EVERFI,E-learning,"501-1,000"
6790,2019-01-03,Data Analyst,Full-time,Associate,4,"Minnetonka, MN",1.0,UnitedHealthcare,Hospital & Health Care,"10,001+"
6791,2019-01-03,Data Analyst,Full-time,Entry level,3,"San Francisco, CA",117.0,Figure,Financial Services,201-500
6793,2019-01-03,Data Scientist,Full-time,Associate,5,United States,5.0,Premier Research,Biotechnology,"1,001-5,000"
6795,2019-01-03,Data Scientist,Full-time,Mid-Senior level,1,"Minneapolis, MN",58.0,phData,Information Technology & Services,51-200
6799,2019-01-04,Data Engineer,Contract,Mid-Senior level,8,"St Louis, MO",18.0,"TechnoSmarts, Inc.",Staffing & Recruiting,11-50
6800,2019-01-04,Data Analyst,Contract,Mid-Senior level,5,Dallas-Fort Worth Metroplex,1.0,Mindlance,Staffing & Recruiting,"1,001-5,000"
6802,2019-01-04,Data Analyst,Full-time,Mid-Senior level,2,"Illinois, United States",5.0,Kraken Digital Asset Exchange,Financial Services,"1,001-5,000"
6808,2019-01-04,Data Engineer,Full-time,Mid-Senior level,4,United States,4.0,Spok,Information Technology & Services,"501-1,000"
6809,2019-01-04,Data Engineer,Full-time,Associate,4,"Indianapolis, IN",1.0,Degreed,Information Technology & Services,201-500
6817,2019-01-05,Data Engineer,Full-time,Mid-Senior level,3,"New York, NY",,Jobot,Staffing & Recruiting,201-500
6818,2019-01-05,Data Scientist,Full-time,Mid-Senior level,6,Atlanta Metropolitan Area,63.0,Insight Global,Staffing & Recruiting,"1,001-5,000"
6819,2019-01-05,Data Engineer,Contract,Mid-Senior level,2,"Roseville, CA",,Toptal,Internet,"1,001-5,000"
6821,2019-01-05,Data Engineer,Contract,Mid-Senior level,10,"New York, NY",,Toptal,Internet,"1,001-5,000"
6823,2019-01-06,Data Analyst,Full-time,Entry level,3,United States,14.0,Housecall Pro,Computer Software,201-500
6825,2019-01-06,Data Analyst,Full-time,Associate,4,"Concord, CA",9.0,Realogy,Real Estate,"10,001+"
6828,2019-01-06,Data Engineer,Full-time,Mid-Senior level,6,"Cleveland, OH",,Jobot,Staffing & Recruiting,201-500
6832,2019-01-06,Data Analyst,Full-time,Mid-Senior level,6,"Memphis, TN",94.0,Gateway Group Personnel,Staffing & Recruiting,51-200
6835,2019-01-06,Data Engineer,Full-time,Associate,3,United States,17.0,Hopper,Internet,201-500
6840,2019-01-07,Data Engineer,Contract,Entry level,1,"Boston, MA",79.0,Softworld,Staffing & Recruiting,"501-1,000"
6841,2019-01-07,Data Scientist,Full-time,Mid-Senior level,7,"San Francisco, CA",1.0,Jobot,Staffing & Recruiting,201-500
6845,2019-01-07,Data Engineer,Full-time,Mid-Senior level,6,Dallas-Fort Worth Metroplex,14.0,3Cloud,Information Technology & Services,201-500
6856,2019-01-08,Data Engineer,Full-time,Entry level,2,United States,1.0,Consolidated Analytics - NMLS ID# 1645182,Financial Services,"501-1,000"
6859,2019-01-08,Data Architect,Full-time,Mid-Senior level,6,"Philadelphia, PA",6.0,Perficient,Information Technology & Services,"1,001-5,000"
6862,2019-01-09,Data Engineer,Full-time,Associate,2,"Georgia, United States",1.0,Cardinal Health,Hospital & Health Care,"10,001+"
6868,2019-01-09,Data Engineer,Contract,Mid-Senior level,3,"Vacaville, CA",,Toptal,Internet,"1,001-5,000"
6870,2019-01-09,Data Engineer,Full-time,Mid-Senior level,4,United States,12.0,Lawrence Harvey,Staffing & Recruiting,51-200
6871,2019-01-09,Data Engineer,Full-time,Entry level,2,"Stamford, CT",,Circle,Financial Services,51-200
6884,2019-01-11,Data Scientist,Full-time,Mid-Senior level,4,United States,38.0,Nike,Sporting Goods,"10,001+"
6885,2019-01-11,Data Engineer,Full-time,Mid-Senior level,6,"Austin, Texas Metropolitan Area",,Quest Groups LLC,Staffing & Recruiting,11-50
6891,2019-01-11,Data Analyst,Full-time,Mid-Senior level,10,"Fremont, CA",,Jobot,Staffing & Recruiting,201-500
6894,2019-01-12,Data Analyst,Contract,Associate,3,United States,66.0,Collabera Inc.,Information Technology & Services,"10,001+"
6897,2019-01-12,Data Scientist,Full-time,Mid-Senior level,5,"Texas, United States",18.0,Kraken Digital Asset Exchange,Financial Services,"1,001-5,000"
6902,2019-01-12,Data Engineer,Contract,Mid-Senior level,6,"Santa Monica, CA",10.0,"IDR, Inc.",Staffing & Recruiting,"501-1,000"
6912,2019-01-13,Data Engineer,Full-time,Mid-Senior level,2,Dallas-Fort Worth Metroplex,10.0,BravoTECH,Information Technology & Services,201-500
6923,2019-01-14,Data Engineer,Full-time,Entry level,1,"Portland, OR",1.0,Arkatechture,Information Technology & Services,11-50
6938,2019-01-16,Data Engineer,Contract,Mid-Senior level,7,"Chula Vista, CA",,Toptal,Internet,"1,001-5,000"
6940,2019-01-16,Data Scientist,Full-time,Mid-Senior level,7,United States,95.0,LifeBell AI,Computer Software,11-50
6944,2019-01-17,Data Analyst,Full-time,Mid-Senior level,4,Los Angeles Metropolitan Area,66.0,Medely,Hospital & Health Care,51-200
6947,2019-01-17,Data Engineer,Full-time,Mid-Senior level,8,"Oregon, United States",,WP Engine,Information Technology & Services,"501-1,000"
6951,2019-01-17,Data Engineer,Full-time,Mid-Senior level,4,"Foster City, CA",2.0,Jobot,Staffing & Recruiting,201-500
6953,2019-01-18,Data Architect,Full-time,Mid-Senior level,7,"Las Vegas, NV",1.0,Perficient,Information Technology & Services,"1,001-5,000"
6954,2019-01-18,Data Engineer,Full-time,Mid-Senior level,6,"San Jose, CA",3.0,Jobot,Staffing & Recruiting,201-500
6956,2019-01-18,Data Engineer,Full-time,Mid-Senior level,4,United States,6.0,Life360,Individual & Family Services,51-200
6959,2019-01-18,Data Architect,Full-time,Mid-Senior level,6,"San Francisco, CA",1.0,Jobot,Staffing & Recruiting,201-500
6961,2019-01-19,Data Engineer,Contract,Mid-Senior level,5,"Palo Alto, CA",,Toptal,Internet,"1,001-5,000"
6962,2019-01-19,Data Engineer,Full-time,Mid-Senior level,3,"Nashville, TN",11.0,Jobot,Staffing & Recruiting,201-500
6964,2019-01-19,Data Engineer,Contract,Mid-Senior level,3,"Melbourne, FL",,Toptal,Internet,"1,001-5,000"
6966,2019-01-19,Data Analyst,Full-time,Entry level,0,United States,3.0,Dice,Internet,"1,001-5,000"
6969,2019-01-20,Data Engineer,Full-time,Entry level,2,"Arlington, VA",1.0,CrowdStrike,Computer & Network Security,"1,001-5,000"
6971,2019-01-20,Data Analyst,Full-time,Entry level,2,"Maryland, United States",14.0,Oscar Health,Insurance,"1,001-5,000"
6973,2019-01-20,Data Engineer,Full-time,Entry level,1,United States,6.0,Pluralsight,Information Technology & Services,"1,001-5,000"
6974,2019-01-20,Data Engineer,Full-time,Associate,6,"New York, NY",2.0,OneThree Biotech,Biotechnology,11-50
6976,2019-01-21,Data Scientist,Full-time,Mid-Senior level,2,United States,47.0,Stripe,Internet,"1,001-5,000"
6979,2019-01-21,Data Analyst,Full-time,Associate,4,United States,7.0,Emerald,Marketing & Advertising,"501-1,000"
6983,2019-01-22,Data Scientist,Contract,Mid-Senior level,2,"Glendale, AZ",,Toptal,Internet,"1,001-5,000"
6990,2019-01-22,Data Engineer,Contract,Mid-Senior level,3,"Evansville, IN",,Toptal,Internet,"1,001-5,000"
6995,2019-01-23,Data Analyst,Full-time,Mid-Senior level,3,"New York, NY",39.0,Jobot,Staffing & Recruiting,201-500
6996,2019-01-23,Data Engineer,Contract,Mid-Senior level,1,"Billings, MT",,Toptal,Internet,"1,001-5,000"
7000,2019-01-24,Data Analyst,Contract,Mid-Senior level,8,"Atlanta, GA",67.0,Modis,Information Technology & Services,"10,001+"
7001,2019-01-24,Data Analyst,Full-time,Mid-Senior level,5,"Los Angeles, CA",15.0,Modis,Information Technology & Services,"10,001+"
7002,2019-01-24,Data Engineer,Full-time,Associate,3,"Austin, TX",,Dice,Internet,"1,001-5,000"
7003,2019-01-24,Data Engineer,Full-time,Mid-Senior level,5,"Portland, OR",16.0,Carta Healthcare Inc.,Information Technology & Services,51-200
7004,2019-01-24,Data Engineer,Full-time,Mid-Senior level,5,"Milwaukee, WI",7.0,Planet Technology,,
7007,2019-01-25,Data Engineer,Full-time,Entry level,2,"Arlington, VA",27.0,Spider Strategies,Computer Software,51-200
7010,2019-01-25,Data Scientist,Contract,Mid-Senior level,4,"Chesapeake, VA",,Toptal,Internet,"1,001-5,000"
7011,2019-01-26,Data Engineer,Contract,Entry level,0,"Louisville, KY",34.0,Conexess Group,Information Technology & Services,51-200
7016,2019-01-26,Data Engineer,Full-time,Associate,6,"Providence, RI",1.0,Virgin Pulse,Computer Software,"1,001-5,000"
7022,2019-01-27,Data Engineer,Full-time,Mid-Senior level,4,"Irvine, CA",32.0,KORE1,Staffing & Recruiting,51-200
7025,2019-01-28,Data Scientist,Contract,Mid-Senior level,5,"Orem, UT",,Toptal,Internet,"1,001-5,000"
7027,2019-01-28,Data Analyst,Full-time,Entry level,2,"Thousand Oaks, CA",4.0,"3 Key Consulting, Inc.",Biotechnology,51-200
7029,2019-01-28,Data Engineer,Contract,Mid-Senior level,6,"New York, United States",36.0,TDA Creative,Staffing & Recruiting,11-50
7032,2019-01-29,Data Engineer,Contract,Mid-Senior level,2,United States,31.0,Intellisoft Technologies,Information Technology & Services,51-200
7039,2019-01-30,Data Scientist,Contract,Mid-Senior level,8,"Greeley, CO",,Toptal,Internet,"1,001-5,000"
7041,2019-01-30,Data Engineer,Contract,Mid-Senior level,2,"San Carlos, CA",26.0,Sigmaways Inc,Information Technology & Services,51-200
7042,2019-01-31,Data Analyst,Full-time,Mid-Senior level,7,"San Diego, CA",57.0,The Select Group,Information Technology & Services,201-500
7043,2019-01-31,Data Engineer,Full-time,Entry level,2,United States,2.0,Dice,Internet,"1,001-5,000"
7044,2019-01-31,Data Scientist,Contract,Mid-Senior level,7,"St Petersburg, FL",1.0,Toptal,Internet,"1,001-5,000"
7045,2019-01-31,Data Scientist,Full-time,Associate,4,United States,166.0,physIQ,Hospital & Health Care,51-200
